Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-19 24:21:22	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:21:27	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:21:32	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:21:37	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:21:42	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:21:47	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:21:52	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:21:57	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:22:2	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:22:7	0.00	0.00	1.05	2.13	-1.08	0
2017-4-19 24:22:12	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:22:17	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:22:22	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:22:27	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:22:32	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:22:37	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:22:42	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:22:47	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:22:52	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:22:57	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:23:2	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:23:7	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:23:12	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:23:17	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:23:22	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:23:27	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:23:32	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:23:37	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:23:42	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:23:47	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:23:52	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:23:57	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:24:2	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:24:7	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:24:12	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:24:17	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:24:22	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:24:27	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:24:32	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:24:37	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:24:42	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:24:47	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:24:52	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:24:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:25:2	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:25:7	0.00	0.00	1.05	2.21	-1.16	0
2017-4-19 24:25:12	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:25:17	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:25:22	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:25:27	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:25:32	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:25:37	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:25:42	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:25:47	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:25:52	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:25:57	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:26:2	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:26:7	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:26:12	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:26:17	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:26:22	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:26:27	0.00	0.00	1.05	2.04	-0.99	0
