Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 22:23:35	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:23:40	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:23:45	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:23:50	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:23:55	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:24:0	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:24:5	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:24:10	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:24:15	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:24:20	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:24:25	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:24:30	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:24:35	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:24:40	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:24:45	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:24:50	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:24:55	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:25:0	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:25:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:25:10	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:25:15	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:25:20	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:25:25	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:25:30	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:25:35	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:25:40	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:25:45	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:25:50	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:25:55	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:26:0	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:26:5	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:26:10	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:26:15	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:26:20	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:26:25	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:26:30	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:26:35	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:26:40	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:26:45	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:26:50	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:26:55	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:27:0	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:27:5	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:27:10	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:27:15	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:27:20	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:27:25	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:27:30	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:27:35	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:27:40	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:27:45	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:27:50	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:27:55	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:28:0	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:28:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:28:10	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:28:15	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:28:20	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:28:26	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:28:31	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:28:36	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:28:41	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:28:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:28:51	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:28:56	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:29:1	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:29:6	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:29:11	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:29:16	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:29:21	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:29:26	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:29:31	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:29:36	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 22:29:41	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:29:46	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:29:51	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:29:56	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:30:1	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:30:6	0.00	0.00	1.05	8.07	-7.02	0
