Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 7:28:59	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 7:29:4	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:29:9	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:29:14	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:29:19	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:29:24	0.00	0.00	1.05	8.13	-7.08	0
2017-4-18 7:29:29	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:29:34	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 7:29:39	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 7:29:44	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:29:49	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:29:54	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:29:59	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:30:4	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 7:30:9	0.00	0.00	1.05	8.01	-6.96	0
2017-4-18 7:30:15	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:30:20	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:30:25	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:30:30	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 7:30:35	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:30:40	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 7:30:45	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 7:30:50	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:30:55	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:31:0	0.00	0.00	1.05	8.17	-7.12	0
2017-4-18 7:31:5	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:31:10	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:31:15	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:31:20	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:31:25	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:31:30	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:31:35	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:31:40	0.00	0.00	1.05	8.06	-7.01	0
