Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-21 10:40:37	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:40:42	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:40:47	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:40:52	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:40:57	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:41:2	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:41:7	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:41:12	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:41:17	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:41:22	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:41:27	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:41:32	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:41:37	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:41:42	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:41:47	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:41:52	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:41:57	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:42:2	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:42:7	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:42:12	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:42:17	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:42:22	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:42:27	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:42:32	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:42:37	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:42:42	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:42:47	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:42:52	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:42:57	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:43:2	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:43:7	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:43:12	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:43:17	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:43:22	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:43:27	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:43:32	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:43:37	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:43:42	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:43:47	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:43:52	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:43:57	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:44:2	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:44:7	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:44:12	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:44:17	0,00	0,00	1,05	1,91	-0,86	0
